flavor,size,product_description,ingredients,allergens,servings_per_containter,serving_size,calories_per_serving,calories_per_pint,total_fat_per_serving,total_fat_per_pint,total_fat_daily_value_per_serving,total_fat_daily_value_per_pint,saturated_fat_per_serving,saturated_fat_per_pint,saturated_fat_daily_value_per_serving,saturated_fat_daily_value_per_pint,trans_fat_per_serving,trans_fat_per_pint,trans_fat_daily_value_per_serving,trans_fat_daily_value_per_pint,cholesterol_per_serving,cholesterol_per_pint,cholesterol_daily_value_per_serving,cholesterol_daily_value_per_pint,sodium_per_serving,sodium_per_pint,sodium_daily_value_per_serving,sodium_daily_value_per_pint,total_carbohydrate_per_serving,total_carbohydrate_per_pint,carbohydrate_daily_value_per_serving,carbohydrate_daily_value_per_pint,dietary_fiber_per_serving,dietary_fiber_per_pint,dietary_fiber_daily_value_per_serving,dietary_fiber_daily_value_per_pint,total_sugars_per_serving,total_sugars_per_pint,includes_added_sugars_per_serving,includes_added_sugars_per_pint,daily_value_added_sugars_per_serving,daily_value_added_sugars_per_pint,protein_per_serving,protein_per_pint,protein_daily_value_per_serving,protein_daily_value_per_pint,vitamind_per_serving,vitamind_per_pint,vitamind_daily_value_per_serving,vitamind_daily_value_per_pint,calcium_per_serving,calcium_per_pint,calcium_daily_value_per_serving,calcium_daily_value_per_pint,iron_per_serving,iron_per_pint,iron_daily_value_per_serving,iron_daily_value_per_pint,potassium_per_serving,potassium_per_pint,potassium_daily_value_per_serving,potassium_daily_value_per_pint,vitamin_a,vitamin_a_daily_value_per_serving,category--Ice cream,category--Frozen Custard,category--Sherbert,category--Sorbet,category--Gelato,category--Churned,category--No Fat No Sugar,category--Reduced Fat,category--Gustafson's,category--Yogurt,category--Candy,category--Caramel,category--Chocolate,category--Cookies,category--Coffee,category--Fruit,category--Fudge,category--Mint,category--Nuts,category--Vanilla,allergy_icons--gluten-free,allergy_icons--peanut-free,allergy_icons--dairy-free,allergy_icons--nut-free
Pirates Bounty,pint,M&M's Chocolate Candies and Chocolate Sandwhich Cookies in Caramel Flavored Ice Cream,"NONFAT Milk, CREAM, BUTTERMilk, SUGAR, CORN SYRUP, CHOCOLATE SANDWICH COOKIE [SUGAR, ENRICHED FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, VITAMIN B1 {THIAMINE MONONITRATE}, VITAMIN B2 {RIBOFLAVIN}, FOLIC ACID). SoyBEANAN AND PALM OIL WITH TBHQ FOR FRESHNESS,COCOAPROCESSED WITH ALKALI, INVERT SUGAR, CONTAINS 2% OR LESS OFDEGERMINATED YELLOW CORN FLOUR, CORNSTARCH, CHOCOLATE, SALT, LEAVENING (BAKING SODA, MONOCALCIUM PHOSPHATE), SALT, ARTIFICIAL FLAVOR, Soy LECITHIN (EMULSIFIER), WHEY], CARAMEL BASE [CORN SYRUP, SUGAR, WATER, BUTTER (CREAM, SALT), CONDENSED SKIM Milk, CARAMEL COLOR, ANNATTO COLOR, NATURAL AND ARTIFICIAL FLAVORING, CARRAGEENAN], Milk CHOCOLATE CANDIES [Milk CHOCOLATE (SUGAR, CHOCOLATE, SKIM Milk, COCOA BUTTER, LACTOSE, MilkFAT, Soy LECITHIN, SALT,ARTIFICIALAND NATURAL FLAVORS), SUGAR, CORNSTARCH, LESS THAN 1% OF CORN SYRUP, DEXTRIN, COLORING (BLUE 1 LAKE, YELLOW 6, RED 40, YELLOW 5, BLUE 1, YELLOW 6 LAKE, RED 40 LAKE, YELLOW 5 LAKE, BLUE 2 LAKE, BLUE 2), CARNAUBA WAX, GUM ACACIA], WHEY, STABILIZER [MONO & DIGLYCERIDES, GUAR GUM, LOCUST BEAN GUM, CARRAGEENAN], SEA SALT. ","Milk, Soy, Wheat",3,2/3  cup (98g),230,690,12g,57g,15%,45%,7g,22g,35%,110%,0g,1g,0%,0%,25mg,80mg,8%,27%,105mg,310mg,5%,13%,29g,87g,11%,32%,0g,1g,0%,4%,23g,68g,17g,52g,34%,104%,3g,10g,0%,0%,0mg,0mg,0%,0%,114mg,342mg,8%,25%,0mg,1mg,0%,6%,186mg,557mg,4%,10%,,,x,,,,,,,,,,,x,x,x,,,,,,,,,,
Raspberry Fudge Chunk,pint,Raspberry Ribbon and Fudge Pieces Blended in Vanilla Ice Cream,"NONFAT Milk, CREAM, BUTTERMilk, SUGAR, RED RASPBERRY SWIRL [CORN SYRUP, RASPBERRY PUREE, SUGAR, HIGH FRUCTOSE CORN SYRUP, WATER, PECTIN, MALIC ACID, LOCUST BEAN GUM, NATURAL FLAVOR, CITRIC ACID, CALCIUM LACTATE, SODIUM CITRATE], FUDGE PIECE [SUGAR, COCONUT OIL, COCOA PROCESSED WITH ALKALI, Peanut OIL (REFINED), COCOA, NATURAL FLAVOR, Soy LECITHIN], CORN SYRUP, WHEY, STABILIZER [MONO & DIGLYCERIDES, GUAR GUM, LOCUST BEAN GUM, CARRAGEENAN], VANILLA EXTRACT, ARTIFICIAL FLAVOR, SEA SALT. ","Milk, Soy",3,2/3  cup (102g),240,710,12g,35g,15%,46%,8g,24g,40%,120%,0g,1g,0%,0%,25mg,75mg,8%,25%,75mg,220mg,3%,10%,30g,89g,11%,32%,1g,2g,4%,7%,25g,74g,19g,58g,38%,116%,3g,9g,0%,0%,0mg,0mg,0%,0%,109mg,326mg,8%,25%,0mg,1mg,0%,6%,199mg,596mg,4%,15%,,,x,,,,,,,,,,,,,,,x,x,,,x,,,,
Scotcheroo,pint,Butterscotch Flavored Ice Cream with Milk Chocolate flavored coated Crisped Rice and a Peanut Butter Swirl,"NON FAT Milk, CREAM, BUTTERMilk, Peanut BUTTER SWIRL [PeanutS, SUGAR, SoyBEAN OIL, COCONUT OIL, AND SALT], SUGAR, Milk CHOCOALTE CRISPED RICE [Milk CHOCOLATE (SUGAR, COCOA BUTTER, CHOCOLATE, Milk, Soy LECITHIN {EMULSIFIER}, SEA SALT, VANILLA EXTRACT), CRISPED RICE (MILLED RICE, SUGAR, SALT, BARLEY MALT)], BUTTERSCOTCH BASE [CORN SYRUP, WATER, SUGAR, NONFAT DRY Milk, CORN STARCH, NATURALFLAVORS,CARAMEL COLOR, SALT AND ANNATTO EXTRACT (COLOR)], CORN SYRUP, WHEY, STABILIZER [MONO & DIGLYCERIDES, GUAR GUM, LOCUST BEAN GUM, CARRAGEENAN], SEA SALT. ","Milk, Soy, Peanuts",3,2/3  cup (99g),280,850,16g,36g,21%,62%,8g,25g,40%,125%,0g,1g,0%,0%,20mg,65mg,7%,22%,180mg,530mg,8%,23%,32g,96g,12%,35%,1g,2g,4%,7%,25g,74g,20g,59g,40%,118%,4g,13g,0%,0%,0mg,0mg,0%,0%,103mg,310mg,8%,25%,0mg,1mg,0%,6%,204mg,613mg,4%,15%,,,x,,,,,,,,,,,,x,,,,,,,,,,,
Sea Turtle,pint,Chocolate Ice Cream with a Sea Salt Caramel and Roasted Pecans,"NONFAT Milk, BUTTERMilk, CREAM, SUGAR, SEA SALT CARAMEL SWIRL [CORN SYRUP, SWEETENED CONDENSED WHOLE Milk, (Milk, SUGAR), SUGAR,WATER,BUTTER(CREAM, SALT), SEA SALT, PECTIN, NATURAL FLAVOR], CORN SYRUP, PECANS[PECANS,COTTONSEED OIL, BUTTER (CREAM, NATURAL FLAVORING), SALT], COCOA PROCESSED WITH ALKALI, WHEY, STABILIZER [GUAR GUM, MONO & DIGLYCERIDES, XANTHAN GUM, POLYSORBATE 80, CARRAGEENAN], SEA SALT. ","Milk, Tree Nuts",3,2/3  cup (98g),250,760,15g,48g,19%,58%,7g,21g,35%,105%,0g,1g,0%,0%,25mg,80mg,8%,27%,170mg,500mg,7%,22%,26g,77g,9%,28%,1g,4g,4%,14%,19g,57g,13g,40g,26%,80%,4g,11g,0%,0%,0mg,0mg,0%,0%,107mg,321mg,8%,25%,1mg,4mg,6%,20%,295mg,886mg,6%,20%,,,x,,,,,,,,,,,x,x,,,,,,x,,X,,,
Shipwreck,pint,Vanilla Ice Cream with a Sea Salt Caramel Ribbon and Candied Almond Splinters,"NONFAT Milk, CREAM, BUTTERMilk, SUGAR, SEA SALT CARAMEL SWIRL [CORN SYRUP, SWEETENED CONDENSED WHOLE Milk, (Milk, SUGAR), SUGAR,WATER,BUTTER(CREAM, SALT), SEA SALT, PECTIN, NATURAL FLAVOR], HONEY ROASTED ALMONDS [ALMONDS, NUT COATER (SUGAR, CORN STARCH), HONEY GLAZE (TAPIOCA DEXTRIN, SUGAR, MALTODEXTRIN, BROWN SUGAR, HONEY SOLIDS, 2% OR LESS OF SILICON DIOXIDE {ANTI-CAKING AGENT}), COTTONSEED OIL, DEHYDRATED HONEY (HONEY, MALTODEXTRIN), SALT), CORN SYRUP, WHEY, STABILIZER [MONO & DIGLYCERIDES, GUAR GUM, LOCUST BEAN GUM, CARRAGEENAN], VANILLA EXTRACT, ARTIFICIAL FLAVOR, SEASALT.","Milk, Tree Nuts",3,2/3  cup (96g),230,690,13g,45g,17%,50%,7g,20g,35%,100%,0g,1g,0%,0%,25mg,80mg,8%,27%,150mg,460mg,7%,20%,26g,77g,9%,28%,1g,2g,4%,7%,19g,57g,13g,39g,26%,78%,4g,12g,0%,0%,0mg,0mg,0%,0%,122mg,365mg,10%,30%,0mg,1mg,0%,6%,204mg,612mg,4%,15%,,,x,,,,,,,,,,,x,,,,,,,x,x,X,,,
Strawberry ,pint,Strawberry Flavored Ice Cream Swirled with Real Strawberries,"NONFAT Milk, CREAM, BUTTERMilk, SUGAR, STRAWBERRIES [STRAWBERRIES, SUGAR, LOCUST BEAN GUM, CITRIC ACID, XANTHAN GUM], CORN SYRUP, STRAWBERRY PUREE [STRAWBERRIES, HIGH FRUCTOSE CORN SYRUP, WATER, SUGAR, MODIFIED CORN STARCH, CITRIC ACID, RED 40], WHEY, STRAWBERRY FLAVOR [NATURAL FLAVORS, WATER, GUM TRAGACANTH, CITRIC ACID, RED 40 (COLOR)], STABILIZER [MONO & DIGLYCERIDES, GUAR GUM, LOCUST BEAN GUM, CARRAGEENAN], CITRIC ACID, SEA SALT, RED 40 AND BLUE 1 (COLOR).",Milk,3,2/3  cup (96g),200,610,9g,39g,12%,36%,6g,19g,30%,95%,0g,1g,0%,0%,25mg,75mg,8%,25%,65mg,190mg,3%,8%,23g,70g,8%,25%,0g,1g,0%,4%,19g,58g,14g,41g,28%,82%,3g,8g,0%,0%,0mg,0mg,0%,0%,105mg,316mg,8%,25%,0mg,0mg,0%,0%,173mg,518mg,4%,10%,,,x,,,,,,,,,,,,,,,x,,,,,X,X,,
Turtle Sundae,pint,Chocolate and Caramel Swirled with Pecans in Vanilla Ice Cream,"NONFAT Milk, CREAM, BUTTERMilk, SUGAR, CORN SYRUP, CARAMEL SWIRL [CORN SWEETENERS (CORN AND HIGH FRUCTOSE CORN SYRUPS), SWEETENED CONDENSED SKIM Milk (SKIM Milk, SUGAR, CORN SYRUP), WATER, CREAM, BUTTER (CREAM, SALT), SUGAR, CONTAINS 2% OR LESS OF SALT, SODIUM ALGINATE, XANTHAN GUM, MONO AND DIGLYCERIDES, NATURAL FLAVOR, SODIUM BICARBONATE, SODIUM CITRATE], CHOCOLATE FUDGE SWIRL [CORN SWEETENERS (HIGH FRUCTOSE CORN SYRUP, CORN SYRUP), WATER, SUGAR, SWEETENED CONDENSED SKIM Milk (SKIM Milk, SUGAR, CORN SYRUP), COCOA PROCESSED WITH ALKALI, BUTTER (CREAM, SALT), WHEY POWDER, CHOCOLATE LIQUOR, MODIFIED CORN STARCH, SODIUM ALGINATE, NATURAL AND ARTIFICIAL FLAVORS], PECANS [PECANS,COTTONSEED OIL, BUTTER (CREAM, NATURAL FLAVORING), SALT], WHEY, STABILIZER [MONO & DIGLYCERIDES, GUAR GUM, LOCUST BEAN GUM, CARRAGEENAN], VANILLA EXTRACT, ARTIFICIAL FLAVOR, SEA SALT, ANNATTO EXTRACT COLOR. ","Milk, Tree Nuts",3,2/3  cup (95g),230,700,14g,28g,18%,53%,7g,20g,35%,100%,0g,1g,0%,0%,25mg,80mg,8%,27%,95mg,280mg,4%,12%,25g,75g,9%,27%,1g,2g,4%,7%,20g,59g,14g,43g,28%,86%,3g,10g,0%,0%,0mg,0mg,0%,0%,110mg,330mg,8%,25%,0mg,1mg,0%,6%,204mg,613mg,4%,15%,,,x,,,,,,,,,,,x,x,,,,,,x,x,,,,
Vanilla,pint,Vanilla Flavored Ice Cream,"NONFAT Milk, CREAM, BUTTERMilk, SUGAR, CORN SYRUP, WHEY, STABILIZER [MONO & DIGLYCERIDES, GUAR GUM, LOCUST BEAN GUM, CARRAGEENAN], VANILLA EXTRACT, ARTIFICIAL FLAVOR, SEA SALT, ANNATTO EXTRACT [COLOR].",Milk,3,2/3  cup (92g),180,550,10g,41g,13%,40%,7g,21g,35%,105%,0g,1g,0%,0%,30mg,85mg,10%,28%,70mg,210mg,3%,9%,21g,63g,8%,23%,0g,0g,0%,0%,17g,52g,12g,35g,24%,70%,3g,9g,0%,0%,0mg,0mg,0%,0%,116mg,348mg,8%,25%,0mg,0mg,0%,0%,177mg,531mg,4%,10%,,,x,,,,,,,,,,,,,,,,,,,x,X,X,,
Natural Vanilla,pint,Natural Ice Cream Flavored with Vanilla Beans and Pure Vanilla Extract,"NONFAT Milk, CREAM, SUGAR, PASTEURIZED SUGARED EGG YOLKS [PASTEURIZED EGG YOLKS, SUGAR], VANILLA EXTRACT, STABILIZER [GUAR GUM, LOCUST BEAN GUM, CARRAGEENAN], VANILLA BEAN SEEDS.","Egg, Milk",3,2/3  cup (92g),180,540,10g,31g,13%,38%,7g,20g,35%,100%,0g,1g,0%,0%,50mg,150mg,17%,50%,55mg,160mg,2%,7%,19g,58g,7%,21%,0g,0g,0%,0%,19g,58g,14g,42g,28%,84%,4g,11g,0%,0%,0mg,0mg,0%,0%,129mg,388mg,10%,30%,0mg,0mg,0%,0%,171mg,514mg,4%,10%,,,x,,,,,,,,,,,,,,,,,,,x,X,X,,
Orange Shebert,pint,Orange Flavored Sherbet,"NONFAT Milk, SUGAR, WATER, CORN SYRUP, ORANGE FLAVOR CONCENTRATE [WATER,CONCENTRATED ORANGE JUICE, ORANGE PULP, ORANGE PEEL, CITRIC ACID, NATURAL FLAVOR, MODIFIED CORN STARCH, YELLOW 6 (COLOR), BHA (TO PROTECT FLAVOR)], CREAM, WHEY, CITRIC ACID, STABILIZER [GUAR GUM, MONO & DIGLYCERIDES, XANTHAN GUM, POLYSORBATE 80, CARRAGEENAN], INVERT SUGAR, NATURAL FLAVOR. ",Milk,3,2/3  cup (114g),160,470,1.5g,30g,2%,6%,1g,4g,5%,18%,0g,0g,0%,0%,5mg,15mg,2%,5%,30mg,95mg,1%,4%,35g,104g,13%,38%,0g,1g,0%,4%,27g,80g,25g,74g,50%,148%,1g,3g,0%,0%,0mg,0mg,0%,0%,46mg,137mg,4%,10%,0mg,0mg,0%,0%,73mg,220mg,2%,4%,,,,,x,,,,,,,,,,,,,x,,,,,X,X,,
Pineapple Shebert,pint,Pineapple Flavored Sherbet,": NONFAT Milk, SUGAR, WATER, CORN SYRUP, CREAM, PINEAPPLE PUREE [PINEAPPLE JUICE CONCENTRATE,.WATER, PINEAPPLE, CITRIC ACID, NATURAL AND ARTIFICIAL FLAVOR, POLYSORBATE 80, YELLOW 5], WHEY, PINEAPPLE FLAVOR [PINEAPPLE JUICE, WATER, GUM TRAGACANTH, ARTIFICIAL FLAVOR, CITRIC ACID, YELLOW 5 (COLOR)], CITRIC ACID, STABILIZER [GUAR GUM, MONO & DIGLYCERIDES, XANTHAN GUM, POLYSORBATE 80, CARRAGEENAN], YELLOW 5 AND YELLOW 6 (COLOR).",Milk,3,2/3  cup (114g),160,490,1.5g,5g,2%,6%,1g,4g,5%,18%,0g,0g,0%,0%,5mg,15mg,2%,5%,30mg,90mg,1%,4%,36g,107g,13%,39%,0g,1g,0%,4%,28g,83g,24g,73g,48%,146%,1g,3g,0%,0%,0mg,0mg,0%,0%,47mg,141mg,4%,10%,0mg,0mg,0%,0%,77mg,230mg,2%,4%,,,,,x,,,,,,,,,,,,,x,,,,,X,X,,
Rainbow Sherbet,pint,"Lime, Orange, and Raspberry Flavored Sherbets Swirled Together","NONFAT Milk, SUGAR, WATER, CORN SYRUP, CREAM,ORANGEPUREE CONCENTRATE[WATER,ORANGE JUICE CONCENTRATE, ORANGE PULP, CORN SYRUP, NATURAL FLAVOR, YELLOW 6 (COLOR)], LIME PUREE CONCENTRATE [WATER, CONCENTRATED LIME JUICE, ORANGE PULP, CORN SYRUP, NATURAL FLAVOR, YELLOW 5 AND BLUE 1 (COLOR), CITRIC ACID], RASPBERRY PUREE [HIGH FRUCTOSE CORN SYRUP, WATER, RASPBERRY PUREE, CONCENTRATED RASPBERRY JUICE, NATURAL AND ARTIFICIAL FLAVORS, MALIC ACID, RED 40 AND BLUE 1 (COLOR)], WHEY, CITRIC ACID, STABILIZER [GUAR GUM, MONO & DIGLYCERIDES, XANTHAN GUM, POLYSORBATE 80, CARRAGEENAN], RED RASPBERRY FLAVOR [RASPBERRY PUREE, SUGAR, NATURAL FLAVOR WITH OTHER NATURAL FLAVORS, WATER, CITRIC ACID, GUM TRAGACANTH, CARAMEL COLOR, RED 40, BLUE 1, YELLOW 5 & 6, (COLOR)].",Milk,3,2/3  cup (114g),160,480,2g,5g,3%,6%,1g,4g,5%,18%,0g,0g,0%,0%,5mg,15mg,2%,5%,30mg,95mg,1%,4%,35g,106g,13%,39%,0g,0g,0%,0%,27g,82g,25g,76g,50%,152%,1g,3g,0%,0%,0mg,0mg,0%,0%,46mg,138mg,4%,10%,0mg,0mg,0%,0%,70mg,211mg,2%,4%,,,,,x,,,,,,,,,,,,,x,,,,,X,X,,
Raspberry Sherbet,pint,Raspberry Flavored Sherbet,"NONFAT Milk, SUGAR, WATER, CORN SYRUP, CREAM,RASPBERRYPUREE [FRUIT JUICE CONCENTRATE (RASPBERRY JUICE CONCENTRATE, PLUM JUICE CONCENTRATE), WATER, CORN SYRUP, RASPBERRIES, NATURAL AND ARTIFICIAL FLAVORS, RED 40 (COLOR)], RASPBERRY PUREE [HIGH FRUCTOSE CORN SYRUP, WATER, RASPBERRY PUREE, CONCENTRATED RASPBERRY JUICE, NATURALANDARTIFICIAL FLAVORS, MALIC ACID, RED 40 AND BLUE 1 (COLOR)], WHEY, RED RASPBERRY FLAVOR BASE [RASPBERRY PUREE, SUGAR, NATURAL FLAVOR WITH OTHER NATURAL FLAVORS, WATER, CITRIC ACID, GUM TRAGACANTH, CARAMELCOLOR,RED40AND BLUE 1 (COLOR)], CITRIC ACID, STABILIZER [GUAR GUM, MONO & DIGLYCERIDES, XANTHAN GUM, POLYSORBATE 80, CARRAGEENAN], RED 40 AND BLUE 1 (COLOR).",Milk,3,2/3  cup (114g),160,490,2g,5g,3%,6%,1g,4g,5%,18%,0g,0g,0%,0%,5mg,15mg,2%,5%,30mg,95mg,1%,4%,36g,107g,13%,39%,0g,1g,0%,4%,28g,83g,25g,76g,50%,152%,1g,3g,0%,0%,0mg,0mg,0%,0%,47mg,140mg,4%,10%,0mg,0mg,0%,0%,73mg,220mg,2%,4%,,,,,x,,,,,,,,,,,,,x,,,,,X,X,,
Triple Citrus Sherbet,pint,"Lemon, Lime and Orange flavored Sherbet","NONFAT Milk, SUGAR, WATER, CORN SYRUP, CREAM, CITRIC ACID, ORANGE PUREE CONCENTRATE [WATER, ORANGE JUICE CONCENTRATE, ORANGE PULP, CORN SYRUP, NATURAL FLAVOR, YELLOW 6 (COLOR)], LEMON PUREE CONCENTRATE [WATER, LEMON PULP, LEMON JUICE CONCENTRATE. CORN SYRUP, NATURAL FLAVOR], LIME PUREE CONCENTRATE [WATER, CONCENTRATED LIME JUICE, ORANGE PULP, CORN SYRUP, NATURAL FLAVOR, YELLOW 5AND BLUE 1 (COLOR), CITRIC ACID], WHEY, STABILIZER [GUAR GUM, MONO & DIGLYCERIDES, XANTHAN GUM, POLYSORBATE 80, CARRAGEENAN], YELLOW 5 (COLOR), YELLOW 6 (COLOR), BLUE 1 (COLOR",Milk,3,2/3  cup (114g),160,480,2g,5g,3%,6%,1g,4g,5%,18%,0g,0g,0%,0%,5mg,15mg,2%,5%,30mg,90mg,1%,4%,35g,106g,13%,39%,0g,1g,0%,4%,27g,81g,25g,74g,50%,148%,1g,3g,0%,0%,0mg,0mg,0%,0%,46mg,137mg,4%,10%,0mg,0mg,0%,0%,69mg,208mg,2%,4%,,,,,x,,,,,,,,,,,,,x,,,,,X,X,,
Watermelon Sherbet,pint,Watermelon Flavored Sherbet,"NONFAT Milk, SUGAR, WATER, CORN SYRUP, CREAM, WATERMELON FLAVOR [RED 40, ARTIFICIAL FLAVOR, NATURAL FLAVOR], WHEY, STABILIZER [GUAR GUM, MONO & DIGLYCERIDES, XANTHAN GUM, POLYSORBATE 80, CARRAGEENAN], CITRIC ACID, SEA SALT",Milk,3,2/3  cup (114g),160,490,2g,5g,3%,6%,1g,4g,5%,18%,0g,0g,0%,0%,5mg,15mg,2%,5%,105mg,310mg,5%,13%,35g,106g,13%,39%,0g,0g,0%,0%,27g,82g,25g,76g,50%,152%,1g,3g,0%,0%,0mg,0mg,0%,0%,46mg,139mg,4%,10%,0mg,0mg,0%,0%,67mg,201mg,2%,4%,,,,,x,,,,,,,,,,,,,x,,,,,X,X,,
#LUV Peanut Butter Custard,pint,Peanut Butter Flavored Custard with a Fudge Ribbon and Fudge Chunks,"NONFAT Milk, CREAM,SUGAR,PeanutBUTTER BASE[PeanutS,COTTONSEED AND/OR Peanut OIL, HIGH FRUCTOSE CORN SYRUP, SALT], BUTTER FUDGE SWIRL [CORN SYRUP, HIGH FRUCTOSE CORN SYRUP, BUTTERMilk, SUGAR, SKIM Milk, CHOCOLATE LIQUOR, WHEY, BUTTER (CREAM, SALT), COCOA PROCESSED WITH ALKALI, PECTIN, MONO & DIGLYCERIDES, SALT, Soy LECITHIN, XANTHAN GUM, NATURAL FLAVOR], CORN SYRUP, FUDGE PIECE [SUGAR, COCONUT OIL, COCOA PROCESSED WITH ALKALI, Peanut OIL (REFINED), COCOA, NATURAL FLAVOR, Soy LECITHIN), PASTEURIZED SUGARED EGG YOLKS [PASTEURIZED EGG YOLKS, SUGAR]. BUTTERMilk, WHEY, STABILIZER [GUAR GUM, MONO & DIGLYCERIDES, XANTHAN GUM, POLYSORBATE 80, CARRAGEENAN], SEA SALT. ","Egg, Milk, Peanut, Soy",3,2/3  cup (122g),340,1010,20g,5g,26%,77%,10g,29g,50%,145%,0g,1g,0%,0%,65mg,195mg,22%,65%,180mg,530mg,8%,23%,33g,99g,12%,36%,1g,4g,4%,14%,26g,79g,20g,60g,40%,120%,6g,19g,0%,0%,0mg,1mg,0%,6%,142mg,425mg,10%,35%,1mg,2mg,6%,10%,284mg,852mg,6%,20%,,,,x,,,,,,,,,,,,,,,x,,,,,,,
Butter Pecan Custard,pint,Butter Pecan Flavored Custard with Pecans,"NONFAT Milk, CREAM, SUGAR, CORN SYRUP, PECANS[PECANS,COTTONSEED OIL, BUTTER (CREAM, NATURAL FLAVORING), SALT], PASTEURIZED SUGARED EGG YOLKS [PASTEURIZED EGG YOLKS, SUGAR], BUTTERMilk, WHEY, BUTTER PECAN FLAVOR [NATURAL FLAVOR, WATER, SALT, Soy SAUCE, SUGAR], STABILIZER [GUAR GUM, MONO & DIGLYCERIDES, XANTHAN GUM, POLYSORBATE 80, CARRAGEENAN], VANILLA EXTRACT, ARTIFICIAL FLAVOR, SEA SALT, ANNATTO EXTRACT (COLOR).","Egg, Milk, Soy, Tree Nuts",3,2/3  cup (116g),270,800,17g,60g,22%,64%,8g,25g,40%,125%,0g,1g,0%,0%,75mg,220mg,25%,73%,140mg,420mg,6%,18%,25g,76g,9%,28%,1g,2g,4%,7%,21g,62g,14g,42g,28%,84%,5g,15g,0%,0%,0mg,1mg,0%,6%,151mg,454mg,10%,35%,0mg,1mg,0%,6%,233mg,698mg,4%,15%,,,,x,,,,,,,,,,,,,,,,,x,,,,,
Caramel Cone Sundae Custard,pint,Vanilla Custard with Caramel and Blended with Chocolate Coated Waffle Cone Pieces,"NONFAT Milk, CREAM,SUGAR,CARAMELSAUCE [CORN SYRUP, WATER, SWEETENED CONDENSED Milk (CONDENSED Milk, SUGAR), SUGAR, SWEETENED CONDENSED SKIM Milk (CONDENSED SKIM Milk, SUGAR), MODIFIED CORN STARCH, SODIUM ALGINATE, SALT, SODIUM BICARBONATE], CORN SYRUP, CHOCO CONE PIECES [SUGAR, DRUMSTICK BISQUE (BLEACHED WHEAT FLOUR, SUGAR, CONTAINS 2% OR LESS OF VEGETABLE SHORTENING {SoyBEAN OIL, PALM OIL, Soy Y LECITHIN}, SALT, CARAMEL COLOR, ARTIFICIAL FLAVOR), COCONUT OIL, CHOCOLATE LIQUOR, BUTTERMilk POWDER,SKIM Milk POWDER, SALT,NATURAL FLAVOR], PASTEURIZED SUGARED EGG YOLKS [PASTEURIZED EGG YOLKS, SUGAR], BUTTERMilk, WHEY, VANILLA EXTRACT, ARTIFICIAL FLAVOR, STABILIZER [GUAR GUM, MONO & DIGLYCERIDES, XANTHAN GUM, POLYSORBATE 80, CARRAGEENAN], ANNATTO EXTRACT (COLOR), SEA SALT. ","Egg, Milk, Soy, Wheat",3,2/3  cup (123g),280,830,14g,50g,18%,53%,9g,28g,45%,140%,0g,1g,0%,0%,75mg,220mg,25%,73%,110mg,330mg,5%,14%,34g,103g,12%,37%,0g,1g,0%,4%,28g,83g,21g,64g,42%,128%,5g,14g,0%,0%,0mg,1mg,0%,6%,153mg,458mg,10%,35%,0mg,1mg,0%,6%,218mg,654mg,4%,15%,,,,x,,,,,,,,,,,x,,,,,,,x,,,,
Dark Secrets Custard,pint,Dark Chocolate Custard with Brownie Chunks and a Chocolate Cookie Swirl,"NONFAT Milk, CREAM, SUGAR, BROWNIE [SUGAR, WHEAT FLOUR, INTERESTERIFIED SoyBEAN OIL, LIQUID PASTEURIZED EGGS, COCOA PROCESSED WITH ALKALI. RICE SYRUP, WATER, CORN STARCH, Soy LECITHIN, SALT, NATURAL FLAVOR, BAKING SODA, BAKING POWDER (SODIUM ACID PYROPHOSPHATE, SODIUM BICARBONATE, CORN STARCH AND MONOCALCIUM PHOSPHATE)], CHOCOLATE COOKIE CRUMB SWIRL [SoyBEAN OIL, POWDERED SUGAR (SUGAR, CORNSTARCH), CHOCOLATE COOKIE CRUMB (UNBLEACHED, UNENRICHED WHEAT FLOUR, SUGAR, PALM OIL, COCOA PROCESSED WITH ALKALI, SALT, BAKING SODA, NATURAL FLAVOR, Soy LECITHIN), COCOA PROCESSED WITH ALKALI, SALT, Soy LECITHIN, NATURAL FLAVOR], CORN SYRUP, COCOA PROCESSED WITH ALKALI, PASTEURIZED SUGARED EGG YOLKS [PASTEURIZED EGG YOLKS, SUGAR], BUTTERMilk, WHEY, STABILIZER [GUAR GUM, MONO & DIGLYCERIDES, XANTHAN GUM, POLYSORBATE 80, CARRAGEENAN], SEA SALT. ","Egg, Milk, Soy, Wheat",3,2/3  cup (128g),330,990,18g,41g,23%,71%,9g,28g,45%,140%,0g,1g,0%,0%,75mg,230mg,25%,77%,150mg,450mg,7%,20%,38g,113g,14%,41%,3g,8g,11%,29%,27g,80g,21g,62g,42%,124%,6g,19g,0%,0%,1mg,2mg,6%,10%,154mg,461mg,10%,35%,2mg,7mg,10%,40%,445mg,1335mg,10%,30%,,,,x,,,,,,,,,,,x,x,,,,,,,,,,
